start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,david-ferrer,D. Ferrer,xavier-malisse,X. Malisse,roland-garros,Round of 64,3.0,f,2000,2,01:16:00,109.0,3.0,14.0,4.0,0.0,0.0,291.0,4.0,3.0,27.0,46.0,23.0,27.0,11.0,19.0,2.0,3.0,9.0,235.0,14.0,31.0,22.0,32.0,6.0,11.0,9.0,34.0,46.0,36.0,63.0,70.0,t,t,9,t,France,0.0,4.0,14.0,0.0,167.0,1.0,2.0,31.0,63.0,17.0,31.0,10.0,32.0,5.0,11.0,9.0,101.0,4.0,27.0,8.0,19.0,1.0,3.0,9.0,27.0,63.0,12.0,46.0,39.0,f,t,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,david-marrero,D. Marrero,jose-acasuso,J. Acasuso,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:35:00,142.0,0.0,10.0,13.0,0.0,1.0,306.0,10.0,1.0,48.0,68.0,39.0,48.0,11.0,20.0,0.0,1.0,11.0,52.0,9.0,42.0,10.0,32.0,0.0,4.0,11.0,50.0,68.0,19.0,74.0,69.0,f,f,,f,France,2.0,13.0,10.0,1.0,309.0,5.0,1.0,42.0,74.0,33.0,42.0,22.0,32.0,4.0,4.0,11.0,173.0,9.0,48.0,9.0,20.0,1.0,1.0,11.0,55.0,74.0,18.0,68.0,73.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,denis-istomin,D. Istomin,lleyton-hewitt,L. Hewitt,roland-garros,Round of 64,5.0,f,2000,2,03:08:00,273.0,2.0,21.0,21.0,0.0,0.0,269.0,5.0,1.0,97.0,138.0,63.0,97.0,22.0,41.0,12.0,17.0,21.0,141.0,16.0,65.0,36.0,70.0,5.0,12.0,21.0,85.0,138.0,52.0,135.0,137.0,f,f,,t,France,3.0,21.0,21.0,0.0,250.0,6.0,4.0,65.0,135.0,49.0,65.0,34.0,70.0,7.0,12.0,21.0,133.0,34.0,97.0,19.0,41.0,5.0,17.0,21.0,83.0,135.0,53.0,138.0,136.0,t,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,diego-junqueira,D. Junqueira,michael-yani,M. Yani,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:38:00,151.0,0.0,10.0,13.0,0.0,1.0,313.0,0.0,0.0,48.0,62.0,32.0,48.0,11.0,14.0,0.0,1.0,11.0,69.0,16.0,57.0,13.0,32.0,0.0,8.0,11.0,43.0,62.0,29.0,89.0,72.0,f,f,,f,France,2.0,13.0,10.0,1.0,296.0,4.0,3.0,57.0,89.0,41.0,57.0,19.0,32.0,8.0,8.0,11.0,163.0,16.0,48.0,3.0,14.0,1.0,1.0,11.0,60.0,89.0,19.0,62.0,79.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,diego-junqueira,D. Junqueira,simon-stadler,S. Stadler,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:44:00,147.0,2.0,13.0,10.0,1.0,1.0,264.0,0.0,1.0,57.0,80.0,35.0,57.0,14.0,23.0,7.0,10.0,11.0,196.0,18.0,47.0,11.0,20.0,4.0,6.0,11.0,49.0,80.0,29.0,67.0,78.0,t,f,,t,France,0.0,10.0,13.0,0.0,239.0,1.0,2.0,47.0,67.0,29.0,47.0,9.0,20.0,2.0,6.0,11.0,135.0,22.0,57.0,9.0,23.0,3.0,10.0,11.0,38.0,67.0,31.0,80.0,69.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dieter-kindlmann,D. Kindlmann,gael-monfils,G. Monfils,roland-garros,Round of 128,4.0,f,2000,1,02:45:00,271.0,1.0,17.0,25.0,1.0,1.0,227.0,3.0,4.0,90.0,142.0,54.0,90.0,25.0,52.0,9.0,18.0,21.0,139.0,25.0,82.0,23.0,47.0,4.0,10.0,20.0,79.0,142.0,48.0,129.0,127.0,f,f,LL,f,France,3.0,25.0,17.0,0.0,267.0,11.0,9.0,82.0,129.0,57.0,82.0,24.0,47.0,6.0,10.0,20.0,184.0,36.0,90.0,27.0,52.0,9.0,18.0,21.0,81.0,129.0,63.0,142.0,144.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dieter-kindlmann,D. Kindlmann,lamine-ouahab,L. Ouahab,roland-garros,1st Round Qualifying,2.0,f,2000,-2,00:59:00,97.0,2.0,12.0,3.0,0.0,0.0,277.0,1.0,3.0,32.0,45.0,22.0,32.0,7.0,13.0,1.0,2.0,7.0,238.0,15.0,24.0,15.0,28.0,6.0,13.0,8.0,29.0,45.0,30.0,52.0,59.0,t,f,,t,France,0.0,3.0,12.0,0.0,155.0,2.0,2.0,24.0,52.0,9.0,24.0,13.0,28.0,7.0,13.0,8.0,141.0,10.0,32.0,6.0,13.0,1.0,2.0,7.0,22.0,52.0,16.0,45.0,38.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dominik-hrbaty,D. Hrbaty,martin-klizan,M. Klizan,roland-garros,1st Round Qualifying,3.0,f,2000,-2,02:32:00,222.0,1.0,14.0,18.0,0.0,0.0,188.0,8.0,9.0,58.0,98.0,31.0,58.0,16.0,40.0,7.0,17.0,16.0,202.0,21.0,55.0,39.0,69.0,8.0,14.0,16.0,47.0,98.0,60.0,124.0,107.0,f,f,,f,France,2.0,18.0,14.0,0.0,196.0,4.0,7.0,55.0,124.0,34.0,55.0,30.0,69.0,6.0,14.0,16.0,228.0,27.0,58.0,24.0,40.0,10.0,17.0,16.0,64.0,124.0,51.0,98.0,115.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dominik-meffert,D. Meffert,thiago-alves,T. Alves,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:13:00,101.0,0.0,4.0,12.0,0.0,0.0,166.0,2.0,0.0,30.0,47.0,12.0,30.0,6.0,17.0,3.0,9.0,8.0,138.0,12.0,38.0,10.0,16.0,2.0,11.0,8.0,18.0,47.0,22.0,54.0,40.0,f,f,,f,France,2.0,12.0,4.0,0.0,254.0,4.0,1.0,38.0,54.0,26.0,38.0,6.0,16.0,9.0,11.0,8.0,267.0,18.0,30.0,11.0,17.0,6.0,9.0,8.0,32.0,54.0,29.0,47.0,61.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dudi-sela,D. Sela,jurgen-melzer,J. Melzer,roland-garros,Round of 128,3.0,f,2000,1,02:06:00,196.0,0.0,11.0,19.0,0.0,0.0,229.0,4.0,5.0,73.0,116.0,50.0,73.0,14.0,43.0,6.0,11.0,15.0,79.0,10.0,47.0,9.0,33.0,1.0,4.0,15.0,64.0,116.0,19.0,80.0,83.0,f,f,,f,France,3.0,19.0,11.0,0.0,313.0,9.0,0.0,47.0,80.0,37.0,47.0,24.0,33.0,3.0,4.0,15.0,177.0,23.0,73.0,29.0,43.0,5.0,11.0,15.0,61.0,80.0,52.0,116.0,113.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dusan-lojda,D. Lojda,giovanni-lapentti,G. Lapentti,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:09:00,96.0,2.0,12.0,3.0,0.0,0.0,326.0,2.0,0.0,32.0,42.0,25.0,32.0,7.0,10.0,0.0,0.0,8.0,192.0,14.0,31.0,13.0,23.0,4.0,12.0,7.0,32.0,42.0,27.0,54.0,59.0,t,f,,t,France,0.0,3.0,12.0,0.0,196.0,2.0,3.0,31.0,54.0,17.0,31.0,10.0,23.0,8.0,12.0,7.0,52.0,7.0,32.0,3.0,10.0,0.0,0.0,8.0,27.0,54.0,10.0,42.0,37.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,dusan-lojda,D. Lojda,ricardo-hocevar,R. Hocevar,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:35:00,129.0,0.0,8.0,13.0,0.0,0.0,243.0,2.0,1.0,33.0,62.0,21.0,33.0,16.0,29.0,2.0,5.0,10.0,136.0,8.0,49.0,11.0,18.0,1.0,2.0,11.0,37.0,62.0,19.0,67.0,56.0,f,f,,f,France,2.0,13.0,8.0,0.0,297.0,11.0,0.0,49.0,67.0,41.0,49.0,7.0,18.0,1.0,2.0,11.0,171.0,12.0,33.0,13.0,29.0,3.0,5.0,10.0,48.0,67.0,25.0,62.0,73.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,edouard-roger-vasselin,E. Roger-Vasselin,kevin-anderson,K. Anderson,roland-garros,Round of 128,5.0,f,2000,1,03:16:00,284.0,3.0,24.0,22.0,1.0,1.0,265.0,7.0,8.0,94.0,150.0,69.0,94.0,29.0,56.0,10.0,15.0,23.0,156.0,27.0,92.0,23.0,42.0,5.0,10.0,22.0,98.0,150.0,50.0,134.0,148.0,t,f,WC,f,France,2.0,22.0,24.0,0.0,272.0,15.0,5.0,92.0,134.0,65.0,92.0,19.0,42.0,5.0,10.0,22.0,129.0,25.0,94.0,27.0,56.0,5.0,15.0,23.0,84.0,134.0,52.0,150.0,136.0,f,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,edouard-roger-vasselin,E. Roger-Vasselin,tomas-berdych,T. Berdych,roland-garros,Round of 64,3.0,f,2000,2,02:05:00,182.0,0.0,10.0,19.0,0.0,0.0,227.0,3.0,3.0,65.0,97.0,40.0,65.0,13.0,32.0,6.0,12.0,14.0,105.0,8.0,51.0,16.0,34.0,2.0,7.0,15.0,53.0,97.0,24.0,85.0,77.0,f,f,WC,f,France,3.0,19.0,10.0,0.0,283.0,5.0,5.0,51.0,85.0,43.0,51.0,18.0,34.0,5.0,7.0,15.0,189.0,25.0,65.0,19.0,32.0,6.0,12.0,14.0,61.0,85.0,44.0,97.0,105.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,eric-prodon,E. Prodon,ryan-harrison,R. Harrison,roland-garros,1st Round Qualifying,3.0,f,2000,-2,01:44:00,166.0,1.0,13.0,16.0,0.0,0.0,245.0,2.0,5.0,43.0,88.0,28.0,43.0,25.0,45.0,6.0,9.0,14.0,142.0,13.0,54.0,9.0,24.0,2.0,3.0,15.0,53.0,88.0,22.0,78.0,75.0,f,f,WC,t,France,2.0,16.0,13.0,0.0,297.0,3.0,0.0,54.0,78.0,41.0,54.0,15.0,24.0,1.0,3.0,15.0,133.0,15.0,43.0,20.0,45.0,3.0,9.0,14.0,56.0,78.0,35.0,88.0,91.0,t,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,ernests-gulbis,E. Gulbis,julien-benneteau,J. Benneteau,roland-garros,Round of 128,3.0,f,2000,1,01:42:00,123.0,0.0,6.0,13.0,0.0,0.0,205.0,4.0,2.0,30.0,65.0,20.0,30.0,14.0,35.0,5.0,10.0,10.0,108.0,11.0,36.0,9.0,22.0,1.0,4.0,9.0,34.0,65.0,20.0,58.0,54.0,f,t,23,f,France,3.0,13.0,6.0,0.0,280.0,3.0,1.0,36.0,58.0,25.0,36.0,13.0,22.0,3.0,4.0,9.0,193.0,10.0,30.0,21.0,35.0,5.0,10.0,10.0,38.0,58.0,31.0,65.0,69.0,t,t,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,evgeny-korolev,E. Korolev,novak-djokovic,N. Djokovic,roland-garros,Round of 128,4.0,f,2000,1,02:08:00,190.0,1.0,11.0,21.0,0.0,0.0,213.0,4.0,4.0,46.0,93.0,29.0,46.0,21.0,47.0,5.0,12.0,16.0,119.0,13.0,61.0,19.0,36.0,2.0,6.0,16.0,50.0,93.0,32.0,97.0,82.0,f,f,,f,France,3.0,21.0,11.0,0.0,279.0,7.0,4.0,61.0,97.0,48.0,61.0,17.0,36.0,4.0,6.0,16.0,193.0,17.0,46.0,26.0,47.0,7.0,12.0,16.0,65.0,97.0,43.0,93.0,108.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fabio-fognini,F. Fognini,gael-monfils,G. Monfils,roland-garros,Round of 64,5.0,f,2000,2,04:16:00,367.0,3.0,28.0,28.0,0.0,0.0,244.0,3.0,7.0,110.0,167.0,74.0,110.0,25.0,57.0,8.0,16.0,28.0,163.0,49.0,129.0,39.0,71.0,8.0,19.0,28.0,99.0,167.0,88.0,200.0,187.0,t,f,,f,France,2.0,28.0,28.0,0.0,253.0,15.0,5.0,129.0,200.0,80.0,129.0,32.0,71.0,11.0,19.0,28.0,167.0,36.0,110.0,32.0,57.0,8.0,16.0,28.0,112.0,200.0,68.0,167.0,180.0,f,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fabio-fognini,F. Fognini,nicolas-massu,N. Massu,roland-garros,Round of 128,5.0,f,2000,1,03:34:00,272.0,3.0,23.0,19.0,0.0,0.0,250.0,5.0,7.0,82.0,129.0,59.0,82.0,19.0,47.0,4.0,9.0,21.0,165.0,34.0,91.0,31.0,52.0,7.0,20.0,21.0,78.0,129.0,65.0,143.0,143.0,t,f,,t,France,2.0,19.0,23.0,0.0,236.0,8.0,5.0,91.0,143.0,57.0,91.0,21.0,52.0,13.0,20.0,21.0,167.0,23.0,82.0,28.0,47.0,5.0,9.0,21.0,78.0,143.0,51.0,129.0,129.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fabio-fognini,F. Fognini,stan-wawrinka,S. Wawrinka,roland-garros,Round of 32,3.0,f,2000,3,01:52:00,169.0,0.0,8.0,18.0,0.0,0.0,207.0,1.0,6.0,52.0,90.0,32.0,52.0,15.0,38.0,5.0,11.0,13.0,101.0,14.0,46.0,13.0,33.0,1.0,4.0,13.0,47.0,90.0,27.0,79.0,74.0,f,f,,f,France,3.0,18.0,8.0,0.0,285.0,7.0,3.0,46.0,79.0,32.0,46.0,20.0,33.0,3.0,4.0,13.0,200.0,20.0,52.0,23.0,38.0,6.0,11.0,13.0,52.0,79.0,43.0,90.0,95.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,federico-delbonis,F. Delbonis,flavio-cipolla,F. Cipolla,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:49:00,161.0,0.0,11.0,14.0,0.0,1.0,262.0,1.0,1.0,47.0,84.0,34.0,47.0,19.0,37.0,4.0,6.0,12.0,104.0,11.0,53.0,12.0,24.0,1.0,4.0,12.0,53.0,84.0,23.0,77.0,76.0,f,f,23,f,France,2.0,14.0,11.0,1.0,287.0,0.0,2.0,53.0,77.0,42.0,53.0,12.0,24.0,3.0,4.0,12.0,126.0,13.0,47.0,18.0,37.0,2.0,6.0,12.0,54.0,77.0,31.0,84.0,85.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,feliciano-lopez,F. Lopez,julian-reister,J. Reister,roland-garros,Round of 128,3.0,f,2000,1,02:14:00,195.0,0.0,9.0,19.0,0.0,1.0,242.0,10.0,1.0,55.0,98.0,39.0,55.0,16.0,43.0,6.0,10.0,13.0,68.0,13.0,63.0,16.0,34.0,0.0,5.0,14.0,55.0,98.0,29.0,97.0,84.0,f,f,27,f,France,3.0,19.0,9.0,1.0,295.0,3.0,5.0,63.0,97.0,50.0,63.0,18.0,34.0,5.0,5.0,14.0,162.0,16.0,55.0,27.0,43.0,4.0,10.0,13.0,68.0,97.0,43.0,98.0,111.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fernando-gonzalez,F. Gonzalez,thiago-alves,T. Alves,roland-garros,Round of 128,4.0,f,2000,1,02:17:00,200.0,3.0,22.0,16.0,0.0,0.0,296.0,21.0,6.0,57.0,99.0,47.0,57.0,24.0,42.0,4.0,7.0,19.0,188.0,23.0,77.0,16.0,24.0,6.0,10.0,19.0,71.0,99.0,39.0,101.0,110.0,t,f,12,t,France,1.0,16.0,22.0,0.0,251.0,5.0,1.0,77.0,101.0,54.0,77.0,8.0,24.0,4.0,10.0,19.0,119.0,10.0,57.0,18.0,42.0,3.0,7.0,19.0,62.0,101.0,28.0,99.0,90.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fernando-verdasco,F. Verdasco,florent-serra,F. Serra,roland-garros,Round of 64,4.0,f,2000,2,02:15:00,194.0,3.0,18.0,14.0,0.0,0.0,252.0,3.0,2.0,57.0,86.0,41.0,57.0,13.0,29.0,1.0,6.0,16.0,183.0,30.0,63.0,24.0,45.0,7.0,18.0,16.0,54.0,86.0,54.0,108.0,108.0,t,f,7,t,France,1.0,14.0,18.0,0.0,214.0,2.0,1.0,63.0,108.0,33.0,63.0,21.0,45.0,11.0,18.0,16.0,197.0,16.0,57.0,16.0,29.0,5.0,6.0,16.0,54.0,108.0,32.0,86.0,86.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fernando-verdasco,F. Verdasco,igor-kunitsyn,I. Kunitsyn,roland-garros,Round of 128,3.0,f,2000,1,01:55:00,153.0,3.0,18.0,8.0,0.0,0.0,310.0,6.0,2.0,57.0,78.0,42.0,57.0,14.0,21.0,4.0,5.0,13.0,215.0,17.0,46.0,21.0,29.0,6.0,10.0,13.0,56.0,78.0,38.0,75.0,94.0,t,f,7,t,France,0.0,8.0,18.0,0.0,207.0,3.0,1.0,46.0,75.0,29.0,46.0,8.0,29.0,4.0,10.0,13.0,86.0,15.0,57.0,7.0,21.0,1.0,5.0,13.0,37.0,75.0,22.0,78.0,59.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fernando-verdasco,F. Verdasco,nicolas-almagro,N. Almagro,roland-garros,Round of 16,4.0,f,2000,4,02:12:00,184.0,1.0,12.0,22.0,0.0,0.0,249.0,2.0,3.0,73.0,96.0,42.0,73.0,12.0,23.0,6.0,12.0,17.0,155.0,9.0,45.0,13.0,43.0,1.0,1.0,17.0,54.0,96.0,22.0,88.0,76.0,f,f,7,f,France,3.0,22.0,12.0,0.0,300.0,6.0,1.0,45.0,88.0,36.0,45.0,30.0,43.0,0.0,1.0,17.0,175.0,31.0,73.0,11.0,23.0,6.0,12.0,17.0,66.0,88.0,42.0,96.0,108.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fernando-verdasco,F. Verdasco,philipp-kohlschreiber,P. Kohlschreiber,roland-garros,Round of 32,5.0,f,2000,3,04:02:00,325.0,3.0,26.0,23.0,0.0,1.0,237.0,5.0,15.0,128.0,170.0,85.0,128.0,15.0,42.0,9.0,16.0,24.0,183.0,29.0,91.0,39.0,64.0,9.0,17.0,24.0,100.0,170.0,68.0,155.0,168.0,t,f,7,f,France,2.0,23.0,26.0,1.0,225.0,3.0,6.0,91.0,155.0,62.0,91.0,25.0,64.0,8.0,17.0,24.0,171.0,43.0,128.0,27.0,42.0,7.0,16.0,24.0,87.0,155.0,70.0,170.0,157.0,f,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,filippo-volandri,F. Volandri,julian-reister,J. Reister,roland-garros,1st Round Qualifying,3.0,f,2000,-2,01:53:00,170.0,1.0,11.0,17.0,0.0,0.0,233.0,0.0,5.0,55.0,83.0,34.0,55.0,13.0,28.0,1.0,6.0,14.0,109.0,19.0,57.0,11.0,30.0,2.0,8.0,14.0,47.0,83.0,30.0,87.0,77.0,f,f,13,f,France,2.0,17.0,11.0,0.0,280.0,1.0,2.0,57.0,87.0,38.0,57.0,19.0,30.0,6.0,8.0,14.0,210.0,21.0,55.0,15.0,28.0,5.0,6.0,14.0,57.0,87.0,36.0,83.0,93.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,flavio-cipolla,F. Cipolla,ryler-deheart,R. DeHeart,roland-garros,2nd Round Qualifying,3.0,f,2000,-1,02:05:00,193.0,1.0,13.0,16.0,0.0,0.0,254.0,1.0,4.0,76.0,102.0,46.0,76.0,13.0,26.0,8.0,12.0,14.0,124.0,18.0,58.0,16.0,33.0,3.0,12.0,15.0,59.0,102.0,34.0,91.0,93.0,f,f,,t,France,2.0,16.0,13.0,0.0,264.0,1.0,2.0,58.0,91.0,40.0,58.0,17.0,33.0,9.0,12.0,15.0,150.0,30.0,76.0,13.0,26.0,4.0,12.0,14.0,57.0,91.0,43.0,102.0,100.0,t,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,florent-serra,F. Serra,michael-russell,M. Russell,roland-garros,Round of 128,3.0,f,2000,1,01:39:00,138.0,3.0,18.0,5.0,0.0,0.0,297.0,6.0,1.0,43.0,65.0,33.0,43.0,13.0,22.0,6.0,7.0,11.0,231.0,17.0,33.0,25.0,40.0,8.0,16.0,12.0,46.0,65.0,42.0,73.0,88.0,t,f,,t,France,0.0,5.0,18.0,0.0,155.0,1.0,10.0,33.0,73.0,16.0,33.0,15.0,40.0,8.0,16.0,12.0,87.0,10.0,43.0,9.0,22.0,1.0,7.0,11.0,31.0,73.0,19.0,65.0,50.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,fred-gil,F. Gil,martin-klizan,M. Klizan,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:08:00,119.0,0.0,6.0,12.0,0.0,0.0,240.0,2.0,2.0,42.0,59.0,26.0,42.0,7.0,17.0,3.0,6.0,9.0,63.0,9.0,31.0,10.0,29.0,0.0,3.0,9.0,33.0,59.0,19.0,60.0,52.0,f,f,2,f,France,2.0,12.0,6.0,0.0,289.0,3.0,3.0,31.0,60.0,22.0,31.0,19.0,29.0,3.0,3.0,9.0,180.0,16.0,42.0,10.0,17.0,3.0,6.0,9.0,41.0,60.0,26.0,59.0,67.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,gaston-gaudio,G. Gaudio,lester-cook,L. Cook,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:19:00,125.0,2.0,13.0,8.0,0.0,0.0,286.0,0.0,3.0,53.0,63.0,40.0,53.0,4.0,10.0,2.0,3.0,10.0,156.0,14.0,39.0,13.0,23.0,3.0,9.0,10.0,44.0,63.0,27.0,62.0,71.0,t,f,,t,France,0.0,8.0,13.0,0.0,242.0,4.0,2.0,39.0,62.0,25.0,39.0,10.0,23.0,6.0,9.0,10.0,128.0,13.0,53.0,6.0,10.0,1.0,3.0,10.0,35.0,62.0,19.0,63.0,54.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,gaston-gaudio,G. Gaudio,thiago-alves,T. Alves,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:26:00,123.0,0.0,5.0,12.0,0.0,0.0,243.0,0.0,2.0,46.0,56.0,28.0,46.0,4.0,10.0,4.0,7.0,8.0,75.0,10.0,44.0,12.0,23.0,0.0,5.0,9.0,32.0,56.0,22.0,67.0,54.0,f,f,,f,France,2.0,12.0,5.0,0.0,293.0,3.0,1.0,44.0,67.0,34.0,44.0,11.0,23.0,5.0,5.0,9.0,179.0,18.0,46.0,6.0,10.0,3.0,7.0,8.0,45.0,67.0,24.0,56.0,69.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,gianni-mina,G. Mina,rafael-nadal,R. Nadal,roland-garros,Round of 128,3.0,f,2000,1,02:23:00,174.0,0.0,6.0,18.0,0.0,0.0,196.0,3.0,4.0,42.0,83.0,26.0,42.0,14.0,41.0,6.0,12.0,12.0,77.0,18.0,62.0,14.0,29.0,0.0,9.0,12.0,40.0,83.0,32.0,91.0,72.0,f,f,WC,f,France,3.0,18.0,6.0,0.0,291.0,0.0,0.0,62.0,91.0,44.0,62.0,15.0,29.0,9.0,9.0,12.0,204.0,16.0,42.0,27.0,41.0,6.0,12.0,12.0,59.0,91.0,43.0,83.0,102.0,t,f,t,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,grega-zemlja,G. Zemlja,guillermo-alcaide,G. Alcaide,roland-garros,2nd Round Qualifying,2.0,f,2000,-1,01:09:00,119.0,2.0,12.0,8.0,0.0,0.0,308.0,7.0,2.0,39.0,59.0,32.0,39.0,11.0,20.0,4.0,4.0,10.0,133.0,11.0,36.0,10.0,24.0,2.0,5.0,10.0,43.0,59.0,21.0,60.0,64.0,t,f,26,t,France,0.0,8.0,12.0,0.0,272.0,7.0,2.0,36.0,60.0,25.0,36.0,14.0,24.0,3.0,5.0,10.0,63.0,7.0,39.0,9.0,20.0,0.0,4.0,10.0,39.0,60.0,16.0,59.0,55.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,grega-zemlja,G. Zemlja,juan-monaco,J. Monaco,roland-garros,Round of 128,4.0,f,2000,1,03:00:00,278.0,3.0,23.0,20.0,1.0,1.0,284.0,14.0,6.0,96.0,153.0,73.0,96.0,27.0,57.0,15.0,17.0,21.0,130.0,24.0,87.0,17.0,38.0,3.0,7.0,21.0,100.0,153.0,41.0,125.0,141.0,t,f,Q,t,France,1.0,20.0,23.0,0.0,286.0,8.0,4.0,87.0,125.0,63.0,87.0,21.0,38.0,4.0,7.0,21.0,98.0,23.0,96.0,30.0,57.0,2.0,17.0,21.0,84.0,125.0,53.0,153.0,137.0,f,f,f,France
2010-05-24,2010-06-06,France,Clay,7580800.0,€,2010,grega-zemlja,G. Zemlja,santiago-ventura,S. Ventura,roland-garros,3rd Round Qualifying,3.0,f,2000,0,02:15:00,190.0,2.0,15.0,13.0,0.0,0.0,256.0,1.0,3.0,75.0,97.0,45.0,75.0,11.0,22.0,3.0,7.0,14.0,195.0,25.0,66.0,16.0,27.0,5.0,8.0,14.0,56.0,97.0,41.0,93.0,97.0,t,f,26,f,France,1.0,13.0,15.0,0.0,237.0,2.0,3.0,66.0,93.0,41.0,66.0,11.0,27.0,3.0,8.0,14.0,175.0,30.0,75.0,11.0,22.0,4.0,7.0,14.0,52.0,93.0,41.0,97.0,93.0,f,f,t,France
